# 원칙 A 판정표 ③ — 행 단위 판정 대장 (KAN-040-M5V53M S2 가 판정 · S3 이 저장소로 옮겼다)
# 판정의 근거와 목적 인용은 docs/ORD-006-conventions.md 의 KAN-040 S2 절에 있다. 이 파일은 그 절의 행 단위 색인이다.
# 대상을 다시 내는 절차는 같은 문서의 KAN-040 S1 절(성질로 전수하는 규칙)에 적혀 있다.
# 칸: 갈래 · 세부 · 계약 · 연산 · 묶음 · 판정 · 근거(S2 절의 어느 표가 이 행의 근거인가) · 담당(적용을 어느 단계가 지는가)
# 손으로 고치지 않는다 — 판정을 바꾸려면 S2 절을 먼저 고치고 그 결과를 여기 옮긴다.
갈래	세부	계약	연산	묶음	판정	근거	담당
순서 질의	최소	tree/splayTree	min()	③	유지	배치2 소절6 ③ 표	S5
순서 질의	최대	tree/splayTree	max()	③	유지	배치2 소절6 ③ 표	S5
순서 질의	구간	tree/splayTree	range(low, high)	③	유지	배치2 소절6 ③ 표	S5
요약 관찰	크기	tree/splayTree	size()	①	제거	배치2 소절6 ① 제거표	S4
순서 질의	최소	tree/treap	min()	③	유지	배치2 소절6 ③ 표	S5
순서 질의	최대	tree/treap	max()	③	유지	배치2 소절6 ③ 표	S5
순서 질의	구간	tree/treap	range(low, high)	③	유지	배치2 소절6 ③ 표	S5
요약 관찰	크기	tree/treap	size()	①	제거	배치2 소절6 ① 제거표	S4
순서 질의	최소	tree/twoThreeTree	min()	③	유지	배치2 소절6 ③ 표	S5
순서 질의	최대	tree/twoThreeTree	max()	③	유지	배치2 소절6 ③ 표	S5
순서 질의	구간	tree/twoThreeTree	range(low, high)	③	유지	배치2 소절6 ③ 표	S5
요약 관찰	크기	tree/twoThreeTree	size()	①	제거	배치2 소절6 ① 제거표	S4
요약 관찰	크기	trie/radixTree	size()	①	제거	배치2 소절6 ① 제거표	S4
요약 관찰	길이	trie/suffixArray	length()	①	제거	배치2 소절6 ① 제거표	S4
요약 관찰	길이	trie/suffixTree	length()	①	제거	배치2 소절6 ① 제거표	S4
요약 관찰	크기	trie/ternarySearchTree	size()	①	제거	배치2 소절6 ① 제거표	S4
요약 관찰	크기	trie/trie	size()	①	제거	배치2 소절6 ① 제거표	S4
